sgRNA	Gene	baseline_1	fxn_1	baseline_2	fxn_2
sgC1orf216_4	C1orf216	3770	2305	3274	3783
sgADRA2B_2	ADRA2B	2420	1302	1780	1162
sgPRRC2C_1	PRRC2C	623	682	1127	840
sgPOSTN_2	POSTN	6139	4880	6597	3356
sgDEFA6_1	DEFA6	1377	1160	4659	3887
sgZC3H12B_1	ZC3H12B	3905	2344	1314	1253
sgETV6_3	ETV6	2710	1562	6725	2356
sgPTEN_4	PTEN	3671	4062	8967	5850
sgBCL2_3	BCL2	1454	1277	997	265
sgSMPD3_2	SMPD3	1553	1430	15475	5110
sgPDE1C_1	PDE1C	1740	1367	2757	2303
sgOTOA_3	OTOA	1835	1199	968	1449
sgLCE1E_3	LCE1E	3457	2357	8022	5031
sgNCEH1_1	NCEH1	1557	796	166	103
sgRNF167_1	RNF167	2446	1790	3189	2371
sgSLC39A13_4	SLC39A13	814	832	2850	1482
sgGJB6_1	GJB6	1948	1546	1806	1825
sgSTAC2_3	STAC2	1438	1354	1240	865
sgBMP1_4	BMP1	1097	824	793	704
sgTSPO2_2	TSPO2	1220	1419	5218	2564
Neg_Control_Human_GA_0167	NegCtrl	2793	2221	6982	4673
sgCCDC92_3	CCDC92	677	447	2058	1449
sgMAN1A1_2	MAN1A1	735	687	1862	980
sgCCNB2_4	CCNB2	901	671	496	390
sgDUSP28_1	DUSP28	5658	4566	1305	1509
sgNUAK1_1	NUAK1	1185	1118	2838	2515
sgREG4_4	REG4	464	646	1337	1340
sgTNFAIP8L2-SCNM1_1	TNFAIP8L2-SCNM1	822	601	170	147
sgNAT2_3	NAT2	1157	885	3291	2782
sgKCNA4_2	KCNA4	3969	3049	1263	1178
sgLRRC31_1	LRRC31	4821	3282	3600	2326
sgIRAK1BP1_1	IRAK1BP1	3025	2543	7747	25456
sgPLEKHG4_2	PLEKHG4	1882	1443	3530	2753
sgGHRH_3	GHRH	1460	1602	1251	1473
sgARID3C_4	ARID3C	398	275	270	739
sgPDZD11_4	PDZD11	891	855	385	472
sgC12orf79_3	C12orf79	2069	1645	2292	1135
sgHBEGF_1	HBEGF	2786	1343	1254	1290
sgKRT75_1	KRT75	695	1008	12541	7374
sgRPUSD1_1	RPUSD1	994	1021	3493	2488
sgZNF557_4	ZNF557	2153	2243	2906	1603
sgSH2D1B_2	SH2D1B	3755	2900	1827	1662
sgCD82_2	CD82	1225	627	8688	3988
sgTTC24_2	TTC24	2354	1948	2318	1742
sgAZGP1_4	AZGP1	758	911	1239	860
sgC1QTNF9B_2	C1QTNF9B	611	676	190	155
sgRBP1_2	RBP1	7061	4299	7309	5843
sgC5AR1_3	C5AR1	1758	862	774	681
sgANP32B_2	ANP32B	917	1453	3634	2910
sgRAB17_3	RAB17	1761	1132	3371	2245
sgXYLT2_2	XYLT2	186	147	461	607
sgC11orf53_1	C11orf53	1452	2501	1695	1065
sgMFN1_4	MFN1	886	718	1083	516
sgEFNA1_3	EFNA1	1346	784	8615	4251
sgHTRA4_2	HTRA4	5304	3040	4043	2977
sgTJP1_2	TJP1	793	699	1798	1109
sgMS4A15_4	MS4A15	1913	1618	860	438
sgCT45A7_1	CT45A7	1734	1030	1309	1043
sgOR2T6_3	OR2T6	1482	1131	3753	2519
sgKRTAP5-5_2	KRTAP5-5	4473	3072	2478	1799
sgCENPF_1	CENPF	2330	2108	593	565
sgKRTAP19-2_3	KRTAP19-2	1306	2228	2531	1681
sgCDK2AP2_1	CDK2AP2	477	581	1386	901
sgARHGAP6_2	ARHGAP6	2298	1528	2828	1567
sgMKKS_4	MKKS	1524	935	1284	1888
sgMAGEC1_3	MAGEC1	3168	3396	1687	1188
sgTMEM132B_1	TMEM132B	1430	800	3287	2635
sgEBPL_2	EBPL	744	1069	779	937
sgHAPLN1_2	HAPLN1	3409	1855	5046	3189
sgCHAMP1_3	CHAMP1	837	254	2656	1437
sgMRI1_4	MRI1	972	862	1050	1022
sgZNF554_1	ZNF554	394	548	1364	879
sgSSH1_4	SSH1	3185	1431	1221	1719
sgCBLN2_3	CBLN2	883	501	1683	1225
sgP2RX1_4	P2RX1	1479	1151	1798	1484
sgHGC6.3_3	HGC6.3	3416	1976	1082	659
sgSMIM18_1	SMIM18	455	427	566	535
sgGNA14_3	GNA14	750	619	3154	2293
sgSERPINA10_4	SERPINA10	4028	3766	835	583
sgIQCF3_3	IQCF3	903	926	628	953
sgNCR3_3	NCR3	2219	1964	868	1464
sgELAC2_3	ELAC2	998	812	1817	1522
sgMARCH9_1	Mar-09	509	906	390	360
sgMAN2A2_3	MAN2A2	963	928	799	353
sgACOT2_2	ACOT2	1014	605	2232	1596
sgGREM1_2	GREM1	2627	2179	1173	957
sgHOXD1_3	HOXD1	1572	1096	324	126
sgSMAP1_3	SMAP1	712	473	1737	1154
sgRFX8_4	RFX8	2927	1972	8327	5281
sgIRF1_2	IRF1	1669	1157	1441	943
sgOR10H3_1	OR10H3	836	598	1216	1208
sgCCDC79_1	CCDC79	2169	1884	4045	3455
sgDUSP21_3	DUSP21	3133	2057	136	244
sgSPANXN1_4	SPANXN1	783	536	1458	1419
sgF10_1	F10	1244	1152	2003	2201
sgIER2_2	IER2	2978	1269	364	202
sgRNASE13_4	RNASE13	1075	995	2157	1492
sgFUNDC1_1	FUNDC1	2266	1785	997	586
sgFAM222B_2	FAM222B	798	1181	334	179
sgC1orf213_1	C1orf213	3416	2416	804	714
sgTNFAIP8L2-SCNM1_2	TNFAIP8L2-SCNM1	334	398	532	551
sgNDUFS4_1	NDUFS4	944	828	1329	6411
sgCACNG8_2	CACNG8	826	967	380	402
sgSETD7_2	SETD7	1218	1207	3480	1653
sgABHD16B_1	ABHD16B	1693	1155	1977	1258
sgCLLU1_2	CLLU1	1057	974	5339	3197
sgOR10V1_2	OR10V1	1419	1137	1893	2263
sgABI3_2	ABI3	1507	1658	1713	2119
sgSPATA3_4	SPATA3	2155	1123	2182	1431
sgPDLIM5_4	PDLIM5	1682	1327	757	353
sgOPA3_4	OPA3	3284	3209	6376	5206
sgDLK2_1	DLK2	209	39	1712	1045
sgCKLF_3	CKLF	1214	1137	1479	1235
sgCUEDC1_3	CUEDC1	4450	2301	3339	2280
sgDBF4_4	DBF4	1279	1146	1191	939
sgADI1_3	ADI1	3290	2221	3932	2051
sgGPR75_3	GPR75	1788	1083	496	447
sgTMCO2_4	TMCO2	1352	752	605	543
sgKRTAP4-7_1	KRTAP4-7	375	195	239	345
sgODF3B_3	ODF3B	1503	827	974	735
sgHERC1_2	HERC1	2179	1474	2575	2741
sgLY75_3	LY75	778	1147	410	550
sgCCDC30_1	CCDC30	1997	1506	1951	1514
sgDUSP22_4	DUSP22	1332	1217	680	844
sgKIAA1147_3	KIAA1147	4403	3076	4088	2582
sgKATNBL1_4	KATNBL1	1931	2042	1233	1555
sgFAAP20_2	FAAP20	1798	1259	1472	544
sgIFNA8_4	IFNA8	1536	1012	2813	1467
sgUBXN2B_2	UBXN2B	3373	2758	5969	5474
sgCASR_4	CASR	1482	1401	1343	1149
sgING3_3	ING3	3627	1497	115	208
sgPIR_4	PIR	865	353	269	101
sgSKA1_4	SKA1	812	979	724	2081
sgSRR_1	SRR	2706	1487	944	893
sgATG4D_4	ATG4D	1243	845	1346	1151
sgARHGEF37_3	ARHGEF37	717	403	1471	1162
sgGATS_4	GATS	905	1261	1565	1588
sgRPRM_4	RPRM	1757	1092	801	421
sgJPH3_2	JPH3	1165	948	1850	922
sgPXMP2_1	PXMP2	2964	1017	2330	1385
sgSMIM2_3	SMIM2	2299	1383	541	1743
sgSH3BGRL3_4	SH3BGRL3	385	603	803	1134
sgDUSP14_4	DUSP14	663	308	1998	1146
Neg_Control_Human_GA_0156	NegCtrl	1074	719	865	790
sgPPP1R3G_3	PPP1R3G	939	756	911	1232
sgDENND4A_2	DENND4A	2726	2073	1703	1757
sgSMOC2_3	SMOC2	2225	2279	3325	2951
sgSDCBP2_1	SDCBP2	1311	1110	316	299
sgCOL1A2_3	COL1A2	2066	2016	4440	2746
sgEPHB2_4	EPHB2	735	709	428	721
sgZBTB5_4	ZBTB5	2935	1217	681	590
sgGIP_4	GIP	978	928	1120	1138
sgFAM69A_1	FAM69A	3331	2174	2423	1435
sgSTXBP1_4	STXBP1	1124	1019	960	590
sgC1orf53_2	C1orf53	3391	2205	4064	3687
sgDOCK11_3	DOCK11	1759	731	1416	713
sgCMIP_1	CMIP	1375	1655	2735	2324
sgFAM189B_2	FAM189B	264	310	1056	422
sgCXCL2_3	CXCL2	1525	636	965	708
sgOR51G2_1	OR51G2	1544	2527	1130	948
sgPTPN21_3	PTPN21	2646	1988	1982	1631
sgFAM127A_3	FAM127A	1372	1090	627	550
sgUBQLN4_1	UBQLN4	1855	1712	278	145
sgOR8H1_1	OR8H1	2092	1554	1455	920
sgMAP6D1_2	MAP6D1	1869	957	1923	3020
sgTBC1D19_3	TBC1D19	2884	1785	1096	718
sgSPATA6L_4	SPATA6L	1764	799	11363	6193
sgGJD4_1	GJD4	2310	1679	4829	2665
sgC7orf55-LUC7L2_2	C7orf55-LUC7L2	1786	1534	3712	2080
sgRAET1E_3	RAET1E	226	276	224	140
sgOR4Q3_2	OR4Q3	4928	2597	2876	1754
sgKCNT2_2	KCNT2	1747	1271	4929	2779
sgSPSB1_3	SPSB1	1517	1659	1878	892
sgOR2T33_4	OR2T33	1703	1170	1925	1537
sgPTCHD2_2	PTCHD2	952	873	1240	576
sgVPS72_1	VPS72	642	811	285	335
sgKDELR3_2	KDELR3	523	666	4461	2547
sgABHD17B_2	ABHD17B	789	786	3858	1581
sgLRP6_2	LRP6	1569	1369	7045	6065
sgZNF132_4	ZNF132	2833	1977	2273	2112
sgGPR107_3	GPR107	2060	2062	1280	996
sgZBTB34_3	ZBTB34	786	976	691	1270
sgFAM71B_3	FAM71B	1717	960	4707	6194
sgIGSF9_4	IGSF9	1167	1147	1207	1020
sgARF5_2	ARF5	2478	2496	1743	1440
sgSPACA5_2	SPACA5	5252	3979	1352	3418
sgZNF775_2	ZNF775	5078	2490	3676	1390
sgTRIM6_3	TRIM6	2812	1743	2934	2301
sgRBPMS2_1	RBPMS2	944	794	331	541
sgPRMT2_4	PRMT2	1642	1385	3090	2230
sgBPIFB2_2	BPIFB2	1415	1135	1375	1228
sgUBR3_1	UBR3	1771	1384	405	183
sgDDR1_2	DDR1	1408	1100	5325	3736
sgGFOD1_3	GFOD1	1655	1287	1241	581
sgEPM2A_2	EPM2A	529	647	1769	988
sgZMIZ1_3	ZMIZ1	1291	644	551	600
sgEPM2A_4	EPM2A	548	486	1171	990
sgTRPV1_2	TRPV1	2203	1517	985	694
sgP2RY8_4	P2RY8	451	336	1116	742
sgPRR20B_1	PRR20B	2737	8942	705	362
sgCLDN22_4	CLDN22	1043	747	2387	1558
sgUSP49_4	USP49	1563	1134	1043	575
sgPCDHB7_4	PCDHB7	184	207	1214	994
sgSLC24A3_1	SLC24A3	7907	6739	396	649
sgLOC391003_1	LOC391003	1242	913	664	492
sgOR51B6_4	OR51B6	4418	2616	3811	2878
sgATP10B_3	ATP10B	988	540	3049	1070
sgGPSM2_3	GPSM2	2954	2805	2294	1570
sgMSI2_1	MSI2	790	1853	1968	2421
sgSERINC2_4	SERINC2	951	744	1047	1148
sgEXTL2_1	EXTL2	5580	3882	3585	2872
sgMYH11_1	MYH11	830	1172	70	124
sgC2orf81_2	C2orf81	809	588	684	541
sgVSTM5_3	VSTM5	965	1099	2311	1543
sgTMEM247_2	TMEM247	554	568	2927	1188
sgCREBZF_2	CREBZF	1226	920	5072	2959
sgSUV420H1_1	SUV420H1	2197	1793	2264	2765
sgSPATS1_4	SPATS1	2415	1564	159	111
sgKIN_4	KIN	647	738	1085	684
sgLUC7L2_1	LUC7L2	1497	1235	661	1243
sgPARD6A_4	PARD6A	2535	2032	602	365
sgORMDL3_4	ORMDL3	2068	1136	571	331
sgLIMS3_1	LIMS3	1669	1505	1171	564
sgBTD_1	BTD	1357	1323	279	371
sgLAYN_2	LAYN	2487	1707	1148	726
sgZSWIM6_1	ZSWIM6	501	650	182	401
sgDNAH10_2	DNAH10	878	928	2110	1647
sgTMEM208_1	TMEM208	721	857	1170	1223
sgFBXW9_3	FBXW9	3145	2137	875	976
sgTFAP2A_2	TFAP2A	3617	2680	5830	3109
sgATG16L1_2	ATG16L1	1034	643	416	685
sgATXN7L3B_1	ATXN7L3B	592	523	377	570
sgNEUROG1_1	NEUROG1	2135	1430	613	874
sgCLDN23_4	CLDN23	253	434	2048	1799
sgARHGAP26_2	ARHGAP26	2308	2241	4564	3226
sgFAM71A_2	FAM71A	1858	1805	2101	1448
sgFANCM_3	FANCM	1907	1650	602	819
sgZNF587B_1	ZNF587B	1584	1927	667	309
sgKIAA1211_1	KIAA1211	535	504	864	791
sgC2orf27A_4	C2orf27A	1308	1200	2605	1119
sgLRCH4_3	LRCH4	171	56	577	420
sgFYTTD1_1	FYTTD1	4683	2479	2972	1069
sgEIF2B4_2	EIF2B4	386	331	113	31
sgBDKRB1_2	BDKRB1	1081	456	1680	1687
sgPTCRA_2	PTCRA	9522	7219	3106	2276
sgGZMA_1	GZMA	2404	1946	2816	2439
sgCDYL_2	CDYL	6864	8539	980	1318
sgCALHM1_4	CALHM1	3789	2522	1646	1837
sgFOXR2_1	FOXR2	8340	6665	3165	2035
Neg_Control_Human_0026	NegCtrl	2370	4121	823	877
sgTRIM63_1	TRIM63	5636	2331	2386	1445
sgCUL1_1	CUL1	735	1004	3479	2606
sgZNF441_1	ZNF441	2862	2043	251	498
sgPQBP1_1	PQBP1	494	867	3579	2765
sgRAPGEF4_2	RAPGEF4	2555	1423	768	473
sgRAB14_1	RAB14	1289	1577	29285	9687
sgOR2AK2_1	OR2AK2	4609	3372	2300	2245
sgZBTB32_2	ZBTB32	2639	1594	1071	980
sgSERPINF2_2	SERPINF2	1823	2355	2246	1106
sgTGFB2_1	TGFB2	977	685	281	226
sgHIST1H2BF_3	HIST1H2BF	1942	1312	1789	1441
sgHIST1H2BA_1	HIST1H2BA	1141	1003	3784	3891
sgCCDC140_4	CCDC140	3103	2354	417	811
sgHYI_4	HYI	2499	2424	3401	2780
sgPAQR4_3	PAQR4	982	809	554	323
sgNR5A1_4	NR5A1	855	735	329	116
sgPER1_2	PER1	2992	1692	1980	1898
sgTUBG1_4	TUBG1	860	670	388	363
sgSLC35B4_3	SLC35B4	3295	2690	2788	1628
sgSLC6A14_2	SLC6A14	384	746	498	379
sgCD40LG_2	CD40LG	1092	1046	739	432
sgDRC1_1	DRC1	1303	1153	3853	2283
sgCHRNB3_3	CHRNB3	1374	1340	1496	1132
sgKRT84_4	KRT84	4196	2963	213	296
sgTFG_1	TFG	3614	3414	924	1103
sgE2F7_1	E2F7	3268	2181	2190	1583
sgHR_1	HR	2652	1499	1422	1670
sgGMEB2_4	GMEB2	1287	894	1174	862
sgACKR2_4	ACKR2	1422	1219	1830	836
sgEXOSC2_1	EXOSC2	345	431	166	168
sgPLEKHD1_1	PLEKHD1	2429	2035	4562	2062
sgC3orf35_1	C3orf35	630	708	2031	1241
sgNBPF11_3	NBPF11	3198	2499	3186	3215
sgCOQ6_4	COQ6	970	785	357	266
sgARR3_4	ARR3	8101	3295	1119	1090
sgRNF128_2	RNF128	5704	4943	2754	2680
sgUQCC2_2	UQCC2	2745	2650	1670	1098
sgARHGEF33_4	ARHGEF33	2263	1754	2352	2008
sgHAS2_2	HAS2	1103	1022	529	1052
sgTINF2_1	TINF2	697	894	911	537
sgTMEM221_3	TMEM221	2792	1297	1827	1032
sgTMEM240_4	TMEM240	1273	1206	1976	1609
sgGIF_1	GIF	679	463	919	815
sgZNF205_3	ZNF205	3575	2340	3153	2788
sgSLC6A1_4	SLC6A1	1308	1183	372	283
sgSLITRK4_3	SLITRK4	3476	2439	1337	950
sgHSPA9_CC_2	HSPA9	497	373	336	570
sgNIPAL4_2	NIPAL4	1677	1173	3143	1958
sgTMEM255B_4	TMEM255B	504	103	495	993
sgCLDN4_4	CLDN4	407	318	1202	364
sgVSIG8_3	VSIG8	1364	926	1058	1412
sgCYP4F8_3	CYP4F8	510	560	36	52
sgNUTM2F_3	NUTM2F	885	650	473	271
sgSLC37A4_3	SLC37A4	1868	2822	3945	1887
sgNAP1L3_3	NAP1L3	2485	1376	9539	6170
sgUSB1_2	USB1	1517	1409	948	420
sgGPR161_3	GPR161	7552	2318	3067	1744
sgTRPT1_2	TRPT1	1322	1270	1764	1150
sgNAT14_4	NAT14	2540	1319	3590	1163
sgBRF2_2	BRF2	363	350	421	527
sgHEXDC_4	HEXDC	952	702	773	737
sgFITM2_3	FITM2	2766	1605	449	195
sgZNF282_1	ZNF282	1000	736	1744	1026
sgRSPH1_3	RSPH1	1907	1194	2785	2485
sgPI15_2	PI15	1123	598	181	129
sgCHGB_2	CHGB	1686	1357	680	548
sgTMEM86B_3	TMEM86B	1270	1135	1915	645
sgPRKDC_1	PRKDC	2058	1342	2099	1617
sgCAPZA3_1	CAPZA3	1210	607	807	769
sgMPHOSPH9_3	MPHOSPH9	813	639	2722	1204
sgTULP3_2	TULP3	765	776	1225	676
sgCDON_4	CDON	1326	1062	2567	1987
sgUBXN7_1	UBXN7	517	768	974	630
sgHS2ST1_1	HS2ST1	3729	3707	1664	1461
sgWFDC13_3	WFDC13	6511	5132	6009	4078
sgELMOD2_2	ELMOD2	1883	2108	2034	1397
sgOR6P1_1	OR6P1	3042	1587	1385	1056
sgDNLZ_4	DNLZ	1777	998	519	383
sgCTXN1_3	CTXN1	1955	1874	3061	1807
sgTMBIM4_1	TMBIM4	974	986	1280	890
sgXKR6_4	XKR6	1371	1598	4741	3495
sgCEP250_3	CEP250	6448	2589	1230	1459
sgASCL5_3	ASCL5	2153	1746	4451	2506
sgTFPT_4	TFPT	564	265	651	413
sgPDE4C_2	PDE4C	2064	1991	1119	1492
sgS100A12_4	S100A12	2884	2476	780	780
sgATP12A_4	ATP12A	1513	840	543	395
sgAKAP7_3	AKAP7	2202	1712	2981	2412
sgADPRHL1_1	ADPRHL1	4003	4373	1702	1017
sgCEP104_4	CEP104	1819	1645	9269	7407
sgZNF14_3	ZNF14	606	657	1338	760
sgCFTR_4	CFTR	1818	1186	401	409
sgELP5_3	ELP5	1767	1524	711	888
sgCACFD1_1	CACFD1	3936	2802	8774	3821
sgTMIGD1_3	TMIGD1	1158	1117	3460	2408
sgC2CD2L_4	C2CD2L	3451	2665	6972	3448
sgNOXA1_4	NOXA1	2316	1676	3756	3955
sgSERINC3_1	SERINC3	965	1234	1237	943
sgADD2_4	ADD2	5052	4503	1137	1093
sgCDC42SE2_3	CDC42SE2	2541	2475	4403	3790
sgPRKAG2_2	PRKAG2	1838	1519	2721	1504
sgTCTEX1D2_4	TCTEX1D2	5978	3486	2281	1673
sgTMEM233_2	TMEM233	2378	2070	2337	2189
sgZBED3_3	ZBED3	1951	1282	8180	6246
sgDOLPP1_3	DOLPP1	2184	3100	666	649
sgTCTN3_3	TCTN3	622	593	381	593
sgINPP5A_3	INPP5A	1136	687	642	376
sgPRAMEF19_4	PRAMEF19	428	709	4441	2531
sgISY1-RAB43_3	ISY1-RAB43	219	160	403	319
sgZNF76_2	ZNF76	516	309	1214	694
sgZNHIT6_4	ZNHIT6	574	612	1527	1192
sgCD83_3	CD83	4398	3473	2543	1765
sgSLC35B2_4	SLC35B2	2648	2381	3633	3039
sgEFHB_3	EFHB	664	767	425	297
sgUBFD1_1	UBFD1	3319	2190	3386	2223
sgFAM120A_2	FAM120A	1419	1413	5158	3187
sgSERF1A_2	SERF1A	1803	2014	2557	1425
sgPLD1_3	PLD1	2047	1260	2981	2283
sgCOMMD3-BMI1_3	COMMD3-BMI1	523	707	465	1173
sgIL1RAPL2_2	IL1RAPL2	1664	1364	1470	1336
sgTAS2R42_3	TAS2R42	895	710	123	276
sgTIPRL_1	TIPRL	614	566	2627	1580
sgANO8_2	ANO8	903	819	335	407
sgFAM71D_4	FAM71D	1679	845	1664	1032
sgFOXL2NB_2	FOXL2NB	2649	1310	1279	972
sgFOXD1_4	FOXD1	846	983	1460	1215
sgUBE2W_4	UBE2W	617	747	2668	1559
sgENGASE_3	ENGASE	1460	945	2953	5067
sgSAC3D1_3	SAC3D1	3103	2109	2527	1762
sgC5orf46_1	C5orf46	693	496	2915	1963
sgZNF423_1	ZNF423	1839	1632	409	348
sgNADSYN1_2	NADSYN1	523	383	1516	1465
sgTSR3_2	TSR3	1101	921	1050	899
sgTM2D1_3	TM2D1	639	862	740	1032
sgLUZP1_1	LUZP1	620	633	2048	1285
sgTRIM64_1	TRIM64	2963	1902	6560	3459
sgHIST1H2BK_2	HIST1H2BK	529	697	403	340
sgALDH3B1_1	ALDH3B1	1365	1026	794	587
sgOR8K3_2	OR8K3	1417	1228	3832	2753
sgCOMMD6_4	COMMD6	853	846	12871	3939
sgTBX22_3	TBX22	3322	2774	4101	5823
sgEIF1AY_4	EIF1AY	203	308	1102	790
sgKRT2_2	KRT2	2006	1296	563	724
sgWNT11_1	WNT11	2211	1240	1304	1111
sgSGTB_3	SGTB	2242	1767	3936	1954
sgA4GALT_3	A4GALT	5036	4748	2084	1983
sgXKRY2_2	XKRY2	523	662	1310	660
sgSRY_1	SRY	833	829	690	368
sgRASGEF1B_2	RASGEF1B	1333	1134	1893	2038
sgSEMA4D_1	SEMA4D	1066	918	603	815
sgPGLS_4	PGLS	744	709	5292	2858
sgSLC52A3_2	SLC52A3	4111	2367	5159	2870
sgNUPL2_2	NUPL2	2807	1877	2712	1557
sgGUSB_1	GUSB	621	479	1046	896
sgUMODL1_4	UMODL1	660	647	3626	2213
sgSMC1B_3	SMC1B	2283	1154	2092	1863
sgDDX11_2	DDX11	1073	1228	6718	4893
sgSUV39H1_3	SUV39H1	2485	2523	85	71
sgSLC17A4_1	SLC17A4	2236	1869	633	578
sgCDRT15_2	CDRT15	1375	1285	877	1071
sgOTX1_3	OTX1	3751	2891	4017	2823
sgZNF91_1	ZNF91	2405	1841	2425	1493
sgRRAGB_2	RRAGB	3874	2879	1572	1272
sgSTYX_2	STYX	1302	935	3222	1772
sgC10orf12_1	C10orf12	3555	1789	4714	3928
sgFSCN1_2	FSCN1	3362	1743	756	1425
sgACSS2_1	ACSS2	2630	2260	2045	1330
sgARHGAP44_3	ARHGAP44	1835	1917	5517	3303
sgWDTC1_3	WDTC1	884	1078	2375	980
sgICAM1_2	ICAM1	1074	826	1216	893
sgCKAP4_4	CKAP4	4473	2745	1004	1309
sgKRTAP7-1_1	KRTAP7-1	419	398	399	348
sgTRMT61A_4	TRMT61A	526	498	855	835
sgWNT7B_3	WNT7B	1154	1192	2508	1752
sgTRIP10_4	TRIP10	1025	993	3711	3348
sgMBL2_1	MBL2	3283	1337	1206	696
sgSPATA31C2_1	SPATA31C2	3363	2300	1696	667
sgPHF5A_1	PHF5A	920	846	6981	5217
sgPCBP4_2	PCBP4	2113	1920	2356	1256
sgZNF213_2	ZNF213	4430	4144	1768	1509
sgDOK3_2	DOK3	2172	1943	1896	1487
sgUBA1_1	UBA1	625	513	239	259
sgPDXP_3	PDXP	1161	1031	9624	3444
sgEFCAB1_1	EFCAB1	1034	905	768	489
sgZSCAN5A_4	ZSCAN5A	5948	2766	2181	1563
sgTEX37_1	TEX37	4131	3007	10036	16574
sgLARGE_1	LARGE	1208	1039	4441	2427
sgHIVEP2_4	HIVEP2	1424	728	1871	380
sgTMED1_1	TMED1	4489	3040	920	1663
sgNCAPD3_1	NCAPD3	1962	1338	557	1193
sgNEK10_4	NEK10	5961	3521	1398	1293
sgPLEKHD1_3	PLEKHD1	817	578	1800	2227
sgDEFB108B_1	DEFB108B	1908	1942	423	868
sgGGT6_1	GGT6	556	808	108	36
sgTSPAN16_3	TSPAN16	754	694	1324	1221
sgKLRD1_3	KLRD1	3682	1824	311	1052
sgLMF1_2	LMF1	2005	1046	2121	1053
sgTPP2_1	TPP2	6896	5587	1743	2005
sgAMHR2_3	AMHR2	1070	751	2085	1322
sgZNF679_3	ZNF679	1122	850	1186	1788
sgEEF2KMT_4	EEF2KMT	892	588	967	1432
sgALOX5_2	ALOX5	3400	2228	1220	981
sgCRISP3_1	CRISP3	1964	996	4532	3781
sgGPR21_1	GPR21	2458	1944	5197	2966
sgOR8D2_4	OR8D2	7248	5109	99	50
sgPRKACG_4	PRKACG	526	720	620	1196
sgCUTA_4	CUTA	3398	2817	4504	3291
sgAGL_1	AGL	1305	537	1492	1355
sgSVIL_3	SVIL	2137	1441	2736	2213
sgXYLT2_3	XYLT2	3961	3104	2004	1152
sgTMEM239_3	TMEM239	2477	1209	3850	1342
sgTSHZ3_2	TSHZ3	1595	973	537	386
sgHLA-E_3	HLA-E	2564	1827	2918	1808
sgXKR8_2	XKR8	971	625	64	154
sgCCDC83_2	CCDC83	257	99	2840	1440
sgCC2D2B_1	CC2D2B	2094	1703	26337	5923
sgUBE3A_1	UBE3A	1537	1221	6469	4443
sgSEMA3E_2	SEMA3E	1934	1150	3200	2489
sgGRIN2A_4	GRIN2A	3789	2059	359	507
sgCETP_1	CETP	2398	1124	961	1112
sgFBXO48_1	FBXO48	2972	1049	3553	2406
sgPIP5K1B_3	PIP5K1B	2197	1403	1524	1313
sgPIGC_4	PIGC	1583	1053	1829	1759
sgCHRNB1_4	CHRNB1	837	1003	2509	3131
sgPARD3_1	PARD3	2336	2675	2686	1583
sgEPYC_2	EPYC	1769	1029	10282	4883
sgPSMB9_2	PSMB9	528	518	1835	966
sgDHRS4L2_4	DHRS4L2	4542	4266	3083	1831
sgPUS7_3	PUS7	1183	954	603	612
sgZCCHC12_1	ZCCHC12	1687	1548	1544	1175
sgAP1S3_1	AP1S3	1544	1449	560	634
sgCOG5_1	COG5	589	311	4762	1520
sgTMEM37_4	TMEM37	1657	877	808	396
sgNMNAT3_3	NMNAT3	2842	1852	1669	1620
sgADAMTS4_1	ADAMTS4	965	489	975	3837
sgBRINP3_2	BRINP3	442	385	523	695
sgADAD2_1	ADAD2	1251	1177	2214	2027
sgKIAA1755_1	KIAA1755	4043	2415	3087	2771
sgLOC400736_1	LOC400736	804	434	1113	2011
sgZNF568_2	ZNF568	787	1085	1787	1956
sgC8B_1	C8B	2854	2701	1127	613
sgINTRON-ALAS1_5	NegCtrlIntron	2474	1582	2653	1893
sgSPG7_4	SPG7	1399	1237	1640	1058
sgFGB_4	FGB	1142	1242	2491	1727
sgTOP1MT_3	TOP1MT	243	158	205	179
sgVCY1B_2	VCY1B	1714	1627	2177	1554
sgTPD52L3_4	TPD52L3	716	658	3097	1794
sgITPR2_2	ITPR2	986	489	3878	2675
sgSHMT1_1	SHMT1	11129	7029	3321	2975
sgLGALS9C_3	LGALS9C	978	686	1643	1457
sgCALR_3	CALR	1131	481	1319	671
sgSNX24_1	SNX24	1655	1191	1092	1103
sgSOX18_1	SOX18	754	348	2810	1269
sgPRDM5_4	PRDM5	2998	2074	2533	5147
sgMRC1_4	MRC1	4033	2816	1970	2203
sgS100P_2	S100P	1961	1041	3091	1911
sgMESDC2_4	MESDC2	609	728	1202	682
Neg_Control_Human_GA_0131	NegCtrl	1565	792	1308	836
sgTNFAIP8L2_1	TNFAIP8L2	1584	1670	992	853
sgTEX101_3	TEX101	1488	2067	1190	619
sgKRTAP4-8_1	KRTAP4-8	750	946	4000	2203
sgRBM24_1	RBM24	2475	2826	5384	2149
sgCCDC23_2	CCDC23	707	689	1124	829
sgINSIG1_2	INSIG1	2015	1559	1019	873
sgLRFN2_4	LRFN2	3258	2486	4094	2253
sgDAP3_2	DAP3	400	339	220	136
sgFAM221B_4	FAM221B	4390	2713	2953	1105
sgRTKN_1	RTKN	1042	573	5491	2360
sgJPH2_1	JPH2	2032	2077	2951	2074
sgSAMD5_3	SAMD5	636	710	736	476
